Lithography,Processor_Base_Frequency,TDP,Max_Memory_Size,Max_Memory_Bandwidth,Graphics_Base_Frequency
45 nm,2.33 GHz,65 W,,,
45 nm,2.83 GHz,80 W,,,
65 nm,1.66 GHz,15 W,,,
130 nm,2.00 GHz,58 W,,,
90 nm,3.20 GHz,110 W,,,
32 nm,2.93 GHz,130 W,288 GB,25.6 GB/s,
45 nm,2.26 GHz,80 W,144 GB,25.6 GB/s,
45 nm,3.00 GHz,80 W,,,
45 nm,3.00 GHz,65 W,,,
65 nm,2.16 GHz,31 W,,,
90 nm,3.20 GHz,110 W,,,
130 nm,2.00 GHz,57 W,,,
32 nm,2.66 GHz,95 W,288 GB,32 GB/s,
45 nm,2.40 GHz,80 W,144 GB,25.6 GB/s,
45 nm,2.80 GHz,80 W,,,
90 nm,3.20 GHz,103 W,,,
130 nm,3.20 GHz,92 W,,,
180 nm,2.00 GHz,77.5 W,,,
65 nm,2.00 GHz,31 W,,,
65 nm,1.60 GHz,65 W,,,
32 nm,2.80 GHz,95 W,288 GB,32 GB/s,
45 nm,2.53 GHz,80 W,144 GB,25.6 GB/s,
45 nm,3.00 GHz,80 W,,,
130 nm,2.00 GHz,57 W,,,
130 nm,3.20 GHz,92 W,,,
65 nm,1.86 GHz,65 W,,,
32 nm,3.06 GHz,95 W,288 GB,32 GB/s,
,600 MHz,,,,
45 nm,2.13 GHz,60 W,144 GB,19.2 GB/s,
45 nm,2.83 GHz,65 W,,,
45 nm,1.86 GHz,20 W,,,
45 nm,2.13 GHz,40 W,,,
65 nm,1.60 GHz,80 W,,,
130 nm,1.90 GHz,55 W,,,
130 nm,3.06 GHz,85 W,,,
65 nm,1.66 GHz,31 W,,,
65 nm,2.00 GHz,65 W,,,
90 nm,2.80 GHz,135 W,,,
90 nm,3.00 GHz,110 W,,,
32 nm,2.93 GHz,95 W,288 GB,32 GB/s,
45 nm,2.00 GHz,38 W,144 GB,25.6 GB/s,
45 nm,2.50 GHz,95 W,,,
45 nm,2.33 GHz,50 W,,,
65 nm,1.86 GHz,80 W,,,
,900 MHz,,,,
65 nm,2.60 GHz,95 W,,,
130 nm,3.06 GHz,87 W,,,
130 nm,1.80 GHz,55 W,,,
65 nm,2.33 GHz,65 W,,,
65 nm,1.86 GHz,65 W,,,
90 nm,3.00 GHz,103 W,,,
32 nm,3.20 GHz,95 W,288 GB,32 GB/s,
45 nm,1.87 GHz,95 W,,,
32 nm,2.26 GHz,30 W,16.38 GB,17 GB/s,
45 nm,2.13 GHz,60 W,144 GB,25.6 GB/s,
45 nm,2.13 GHz,90 W,,,
45 nm,2.66 GHz,35 W,,,
45 nm,2.50 GHz,50 W,,,
65 nm,2.00 GHz,80 W,,,
90 nm,3.00 GHz,55 W,,,
180 nm,700 MHz,29.6 W,,,
65 nm,2.50 GHz,95 W,,,
180 nm,1.70 GHz,65.8 W,,,
65 nm,2.66 GHz,65 W,,,
65 nm,2.13 GHz,65 W,,,
32 nm,3.06 GHz,95 W,288 GB,32 GB/s,
32 nm,3.20 GHz,130 W,24 GB,25.6 GB/s,
45 nm,1.87 GHz,105 W,,,
45 nm,1.86 GHz,45 W,32 GB,21 GB/s,
45 nm,2.26 GHz,60 W,144 GB,25.6 GB/s,
45 nm,2.66 GHz,130 W,24 GB,25.6 GB/s,
45 nm,2.13 GHz,90 W,,,
45 nm,2.66 GHz,95 W,,,
45 nm,3.00 GHz,40 W,,,
45 nm,2.66 GHz,50 W,,,
65 nm,1.60 GHz,80 W,,,
65 nm,2.33 GHz,80 W,,,
180 nm,700 MHz,29.6 W,,,
90 nm,3.00 GHz,103 W,,,
180 nm,933 MHz,29.6 W,,,
65 nm,3.00 GHz,80 W,,,
65 nm,3.00 GHz,95 W,,,
65 nm,2.66 GHz,95 W,,,
65 nm,2.40 GHz,65 W,,,
32 nm,3.46 GHz,130 W,288 GB,32 GB/s,
45 nm,2.00 GHz,105 W,,,
45 nm,2.40 GHz,95 W,32 GB,21 GB/s,
45 nm,2.40 GHz,60 W,144 GB,25.6 GB/s,
45 nm,2.80 GHz,130 W,24 GB,25.6 GB/s,
45 nm,2.40 GHz,90 W,,,
45 nm,3.00 GHz,120 W,,,
45 nm,2.66 GHz,95 W,,,
65 nm,2.13 GHz,80 W,,,
65 nm,2.33 GHz,65 W,,,
65 nm,1.60 GHz,40 W,,,
65 nm,1.60 GHz,50 W,,,
180 nm,866 MHz,27.4 W,,,
250 nm,550 MHz,34 W,,,
180 nm,1.60 GHz,72 W,,,
130 nm,2.80 GHz,74 W,,,
65 nm,3.00 GHz,95 W,,,
65 nm,2.83 GHz,95 W,,,
90 nm,3.66 GHz,110 W,,,
90 nm,2.80 GHz,110 W,,,
,450 MHz,34.5 W,,,
45 nm,2.00 GHz,85 W,,,
45 nm,1.87 GHz,95 W,,,
45 nm,2.53 GHz,95 W,32 GB,21 GB/s,
45 nm,2.93 GHz,130 W,24 GB,25.6 GB/s,
45 nm,3.20 GHz,130 W,144 GB,32 GB/s,
45 nm,2.40 GHz,90 W,,,
65 nm,1.60 GHz,40 W,,,
45 nm,3.16 GHz,120 W,,,
65 nm,2.40 GHz,80 W,,,
180 nm,800 MHz,25.4 W,,,
250 nm,550 MHz,39.5 W,,,
180 nm,1.50 GHz,68 W,,,
65 nm,3.20 GHz,150 W,,,
130 nm,2.80 GHz,77 W,,,
65 nm,3.00 GHz,95 W,,,
65 nm,2.66 GHz,65 W,,,
90 nm,3.33 GHz,129 W,,,
90 nm,2.80 GHz,103 W,,,
,450 MHz,46.7 W,,,
32 nm,3.33 GHz,130 W,24 GB,32 GB/s,
32 nm,3.33 GHz,130 W,288 GB,32 GB/s,
45 nm,2.13 GHz,65 W,,,
45 nm,2.27 GHz,65 W,,,
45 nm,2.66 GHz,95 W,32 GB,21 GB/s,
45 nm,1.87 GHz,95 W,,,
45 nm,3.33 GHz,130 W,144 GB,32 GB/s,
45 nm,3.06 GHz,130 W,24 GB,25.6 GB/s,
45 nm,3.33 GHz,120 W,,,
45 nm,3.00 GHz,65 W,,,
45 nm,2.83 GHz,95 W,,,
45 nm,3.33 GHz,80 W,,,
90 nm,2.80 GHz,110 W,,,
65 nm,1.86 GHz,40 W,,,
65 nm,1.86 GHz,50 W,,,
180 nm,733 MHz,23.3 W,,,
250 nm,550 MHz,34 W,,,
65 nm,3.16 GHz,150 W,,,
130 nm,2.66 GHz,72 W,,,
180 nm,1.50 GHz,59.2 W,,,
90 nm,2.66 GHz,165 W,,,
65 nm,3.20 GHz,130 W,,,
90 nm,3.16 GHz,110 W,,,
90 nm,3.50 GHz,110 W,,,
32 nm,3.60 GHz,130 W,288 GB,32 GB/s,
,450 MHz,46.7 W,,,
45 nm,1.73 GHz,23 W,,,
45 nm,2.53 GHz,85 W,,,
45 nm,2.67 GHz,130 W,,,
,1.73 GHz,105 W,,,
45 nm,2.80 GHz,95 W,32 GB,21 GB/s,
45 nm,3.20 GHz,130 W,24 GB,25.6 GB/s,
45 nm,2.66 GHz,95 W,144 GB,32 GB/s,
45 nm,2.13 GHz,50 W,,,
45 nm,3.50 GHz,80 W,,,
14 nm,2.30 GHz,140 W,512 GB,85.3 GB/s,
45 nm,3.00 GHz,120 W,,,
14 nm,3.30 GHz,140 W,512 GB,85.3 GB/s,
14 nm,3.70 GHz,140 W,512 GB,85.3 GB/s,
14 nm,3.70 GHz,140 W,512 GB,85.3 GB/s,
14 nm,3.60 GHz,140 W,512 GB,85.3 GB/s,
14 nm,4.00 GHz,120 W,512 GB,85.3 GB/s,
14 nm,3.60 GHz,120 W,512 GB,85.3 GB/s,
65 nm,2.40 GHz,80 W,,,
65 nm,2.00 GHz,50 W,,,
65 nm,2.20 GHz,40 W,,,
65 nm,2.13 GHz,105 W,,,
65 nm,3.20 GHz,95 W,,,
180 nm,667 MHz,21.3 W,,,
250 nm,500 MHz,36 W,,,
130 nm,1.50 GHz,48 W,,,
65 nm,3.40 GHz,150 W,,,
130 nm,2.40 GHz,65 W,,,
90 nm,2.80 GHz,165 W,,,
90 nm,3.00 GHz,129 W,,,
90 nm,2.80 GHz,103 W,,,
32 nm,3.46 GHz,130 W,24 GB,32 GB/s,
32 nm,3.46 GHz,130 W,288 GB,32 GB/s,
,400 MHz,30.8 W,,,
45 nm,1.73 GHz,35 W,,,
45 nm,1.73 GHz,48 W,,,
45 nm,2.00 GHz,130 W,,,
45 nm,2.00 GHz,105 W,,,
45 nm,2.93 GHz,95 W,32 GB,21 GB/s,
45 nm,3.20 GHz,130 W,24 GB,32 GB/s,
45 nm,2.80 GHz,95 W,144 GB,32 GB/s,
45 nm,2.13 GHz,65 W,,,
45 nm,2.40 GHz,30 W,,,
45 nm,3.00 GHz,95 W,,,
45 nm,3.16 GHz,65 W,,,
45 nm,3.40 GHz,80 W,,,
45 nm,3.20 GHz,150 W,,,
65 nm,1.86 GHz,50 W,,,
65 nm,2.40 GHz,80 W,,,
65 nm,2.13 GHz,35 W,,,
65 nm,2.66 GHz,120 W,,,
65 nm,2.40 GHz,105 W,,,
180 nm,600 MHz,19.2 W,,,
250 nm,500 MHz,36.2 W,,,
180 nm,1.40 GHz,64 W,,,
65 nm,3.33 GHz,150 W,,,
130 nm,2.40 GHz,77 W,,,
90 nm,3.00 GHz,165 W,,,
65 nm,3.46 GHz,130 W,,,
90 nm,3.00 GHz,,,,
,400 MHz,18.6 W,,,
45 nm,3.06 GHz,95 W,32 GB,21 GB/s,
45 nm,2.13 GHz,60 W,,,
45 nm,2.27 GHz,130 W,,,
45 nm,2.00 GHz,130 W,,,
45 nm,3.16 GHz,95 W,,,
45 nm,3.33 GHz,130 W,24 GB,32 GB/s,
45 nm,2.93 GHz,95 W,144 GB,32 GB/s,
45 nm,2.66 GHz,130 W,,,
45 nm,3.40 GHz,150 W,,,
45 nm,3.00 GHz,45 W,,,
65 nm,2.66 GHz,95 W,,,
65 nm,2.93 GHz,130 W,,,
65 nm,2.93 GHz,80 W,,,
65 nm,3.00 GHz,150 W,,,
65 nm,3.50 GHz,150 W,,,
250 nm,500 MHz,44 W,,,
180 nm,1.00 GHz,30.8 W,,,
130 nm,2.00 GHz,58 W,,,
180 nm,1.40 GHz,56 W,,,
90 nm,3.00 GHz,165 W,,,
65 nm,2.33 GHz,40 W,,,
65 nm,3.73 GHz,130 W,,,
90 nm,2.83 GHz,129 W,,,
22 nm,1.05 GHz,225 W,8 GB,320 GB/s,
22 nm,1.05 GHz,245 W,8 GB,352 GB/s,
22 nm,1.24 GHz,300 W,16 GB,352 GB/s,
22 nm,1.24 GHz,300 W,16 GB,352 GB/s,
22 nm,1.24 GHz,270 W,16 GB,352 GB/s,
22 nm,1.24 GHz,300 W,16 GB,352 GB/s,
14 nm,1.50 GHz,245 W,384 GB,115.2 GB/s,
14 nm,1.40 GHz,230 W,384 GB,115.2 GB/s,
14 nm,1.40 GHz,215 W,384 GB,115.2 GB/s,
14 nm,1.30 GHz,230 W,384 GB,115.2 GB/s,
14 nm,1.30 GHz,215 W,384 GB,115.2 GB/s,
14 nm,1.30 GHz,230 W,384 GB,102 GB/s,
14 nm,1.30 GHz,215 W,384 GB,102 GB/s,
32 nm,2.53 GHz,170 W,,,
32 nm,2.13 GHz,170 W,,,
32 nm,1.73 GHz,130 W,,,
32 nm,2.13 GHz,170 W,,,
32 nm,2.40 GHz,170 W,,,
32 nm,2.53 GHz,170 W,,,
32 nm,1.73 GHz,105 W,1.02 TB,,
22 nm,2.30 GHz,105 W,1.54 TB,68 GB/s,
22 nm,2.00 GHz,115 W,1.54 TB,85 GB/s,
14 nm,2.10 GHz,115 W,3.07 TB,85 GB/s,
14 nm,1.70 GHz,85 W,768 GB,,
65 nm,3.60 GHz,65 W,,,
22 nm,1.80 GHz,35 W,32 GB,25.6 GB/s,650 MHz
22 nm,2.20 GHz,37 W,32 GB,25.6 GB/s,400 MHz
22 nm,2.80 GHz,55 W,32 GB,21 GB/s,650 MHz
14 nm,1.20 GHz,20 W,128 GB,,
32 nm,2.70 GHz,55 W,32 GB,25.6 GB/s,650 MHz
22 nm,1.60 GHz,11.5 W,16 GB,25.6 GB/s,200 MHz
22 nm,3.40 GHz,84 W,32 GB,25.6 GB/s,350 MHz
22 nm,3.00 GHz,28 W,16 GB,25.6 GB/s,200 MHz
14 nm,800 MHz,4.5 W,16 GB,25.6 GB/s,100 MHz
14 nm,800 MHz,4.5 W,16 GB,25.6 GB/s,100 MHz
14 nm,2.20 GHz,15 W,16 GB,25.6 GB/s,300 MHz
14 nm,1.60 GHz,15 W,16 GB,25.6 GB/s,300 MHz
14 nm,2.70 GHz,28 W,16 GB,25.6 GB/s,300 MHz
14 nm,2.90 GHz,28 W,16 GB,25.6 GB/s,300 MHz
14 nm,2.30 GHz,15 W,16 GB,25.6 GB/s,300 MHz
14 nm,3.10 GHz,47 W,32 GB,25.6 GB/s,300 MHz
14 nm,1.80 GHz,15 W,16 GB,25.6 GB/s,300 MHz
14 nm,2.80 GHz,65 W,32 GB,29.86 GB/s,300 MHz
14 nm,3.10 GHz,65 W,32 GB,25.6 GB/s,300 MHz
14 nm,2.00 GHz,15 W,16 GB,25.6 GB/s,300 MHz
14 nm,3.10 GHz,65 W,32 GB,29.86 GB/s,300 MHz
14 nm,2.10 GHz,15 W,16 GB,25.6 GB/s,300 MHz
14 nm,2.10 GHz,15 W,16 GB,25.6 GB/s,300 MHz
14 nm,2.20 GHz,15 W,16 GB,25.6 GB/s,300 MHz
14 nm,2.50 GHz,28 W,16 GB,25.6 GB/s,300 MHz
14 nm,800 MHz,4.5 W,16 GB,25.6 GB/s,300 MHz
14 nm,900 MHz,4.5 W,16 GB,25.6 GB/s,300 MHz
14 nm,1.10 GHz,4.5 W,16 GB,25.6 GB/s,300 MHz
14 nm,1.10 GHz,4.5 W,16 GB,25.6 GB/s,100 MHz
14 nm,1.20 GHz,4.5 W,16 GB,25.6 GB/s,300 MHz
22 nm,2.80 GHz,28 W,16 GB,25.6 GB/s,200 MHz
22 nm,1.50 GHz,15 W,16 GB,25.6 GB/s,200 MHz
22 nm,2.00 GHz,15 W,16 GB,25.6 GB/s,200 MHz
22 nm,1.80 GHz,15 W,16 GB,25.6 GB/s,200 MHz
22 nm,1.70 GHz,15 W,16 GB,25.6 GB/s,200 MHz
22 nm,1.70 GHz,11.5 W,16 GB,25.6 GB/s,200 MHz
22 nm,3.00 GHz,37 W,32 GB,25.6 GB/s,400 MHz
22 nm,2.10 GHz,15 W,16 GB,25.6 GB/s,200 MHz
22 nm,2.90 GHz,37 W,32 GB,25.6 GB/s,400 MHz
22 nm,2.70 GHz,45 W,32 GB,25.6 GB/s,350 MHz
22 nm,3.20 GHz,65 W,32 GB,25.6 GB/s,350 MHz
22 nm,3.60 GHz,84 W,32 GB,25.6 GB/s,350 MHz
22 nm,2.20 GHz,35 W,32 GB,25.6 GB/s,350 MHz
22 nm,3.50 GHz,84 W,32 GB,25.6 GB/s,350 MHz
22 nm,2.30 GHz,45 W,32 GB,25.6 GB/s,350 MHz
22 nm,2.50 GHz,45 W,32 GB,25.6 GB/s,350 MHz
22 nm,3.10 GHz,65 W,32 GB,25.6 GB/s,350 MHz
22 nm,3.20 GHz,65 W,32 GB,25.6 GB/s,200 MHz
22 nm,3.40 GHz,84 W,32 GB,25.6 GB/s,350 MHz
22 nm,2.00 GHz,35 W,32 GB,25.6 GB/s,350 MHz
22 nm,3.50 GHz,84 W,32 GB,25.6 GB/s,350 MHz
22 nm,4.00 GHz,88 W,32 GB,25.6 GB/s,350 MHz
22 nm,2.20 GHz,47 W,32 GB,25.6 GB/s,200 MHz
22 nm,2.10 GHz,47 W,32 GB,25.6 GB/s,200 MHz
22 nm,2.00 GHz,47 W,32 GB,25.6 GB/s,200 MHz
22 nm,2.40 GHz,37 W,32 GB,25.6 GB/s,400 MHz
22 nm,2.60 GHz,47 W,32 GB,25.6 GB/s,400 MHz
22 nm,2.30 GHz,37 W,32 GB,25.6 GB/s,400 MHz
22 nm,2.30 GHz,37 W,32 GB,25.6 GB/s,400 MHz
22 nm,2.50 GHz,47 W,32 GB,25.6 GB/s,400 MHz
22 nm,2.50 GHz,47 W,32 GB,25.6 GB/s,400 MHz
22 nm,2.20 GHz,37 W,32 GB,25.6 GB/s,400 MHz
22 nm,2.20 GHz,37 W,32 GB,25.6 GB/s,400 MHz
22 nm,2.00 GHz,27 W,32 GB,25.6 GB/s,
22 nm,2.40 GHz,47 W,32 GB,25.6 GB/s,400 MHz
22 nm,2.40 GHz,47 W,32 GB,25.6 GB/s,400 MHz
22 nm,2.40 GHz,47 W,32 GB,25.6 GB/s,400 MHz
22 nm,2.70 GHz,43 W,32 GB,25.6 GB/s,
22 nm,2.50 GHz,47 W,32 GB,25.6 GB/s,200 MHz
22 nm,2.40 GHz,47 W,32 GB,25.6 GB/s,200 MHz
22 nm,2.30 GHz,47 W,32 GB,25.6 GB/s,200 MHz
22 nm,2.80 GHz,47 W,32 GB,25.6 GB/s,400 MHz
22 nm,2.70 GHz,47 W,32 GB,25.6 GB/s,400 MHz
22 nm,2.80 GHz,47 W,32 GB,25.6 GB/s,200 MHz
22 nm,2.60 GHz,47 W,32 GB,25.6 GB/s,200 MHz
22 nm,2.40 GHz,47 W,32 GB,25.6 GB/s,200 MHz
22 nm,2.90 GHz,47 W,32 GB,25.6 GB/s,400 MHz
22 nm,2.80 GHz,47 W,32 GB,25.6 GB/s,400 MHz
22 nm,2.60 GHz,28 W,16 GB,25.6 GB/s,200 MHz
22 nm,2.60 GHz,28 W,16 GB,25.6 GB/s,200 MHz
22 nm,1.40 GHz,15 W,16 GB,25.6 GB/s,200 MHz
22 nm,2.40 GHz,28 W,16 GB,25.6 GB/s,200 MHz
22 nm,1.30 GHz,15 W,16 GB,25.6 GB/s,200 MHz
22 nm,1.60 GHz,11.5 W,16 GB,25.6 GB/s,200 MHz
22 nm,1.50 GHz,11.5 W,16 GB,25.6 GB/s,200 MHz
22 nm,1.70 GHz,15 W,16 GB,25.6 GB/s,200 MHz
22 nm,2.60 GHz,37 W,32 GB,25.6 GB/s,400 MHz
22 nm,2.90 GHz,47 W,32 GB,25.6 GB/s,400 MHz
22 nm,1.60 GHz,11.5 W,16 GB,25.6 GB/s,200 MHz
22 nm,1.40 GHz,11.5 W,16 GB,25.6 GB/s,200 MHz
22 nm,1.60 GHz,15 W,16 GB,25.6 GB/s,200 MHz
22 nm,2.50 GHz,37 W,32 GB,25.6 GB/s,400 MHz
22 nm,1.50 GHz,15 W,16 GB,25.6 GB/s,200 MHz
22 nm,2.80 GHz,47 W,32 GB,25.6 GB/s,400 MHz
22 nm,1.40 GHz,15 W,16 GB,25.6 GB/s,200 MHz
22 nm,2.90 GHz,37 W,32 GB,25.6 GB/s,400 MHz
22 nm,2.80 GHz,37 W,32 GB,25.6 GB/s,400 MHz
22 nm,2.00 GHz,15 W,16 GB,25.6 GB/s,200 MHz
22 nm,2.70 GHz,37 W,32 GB,25.6 GB/s,400 MHz
22 nm,2.80 GHz,28 W,16 GB,25.6 GB/s,200 MHz
22 nm,1.60 GHz,11.5 W,16 GB,25.6 GB/s,200 MHz
22 nm,1.60 GHz,11.5 W,16 GB,25.6 GB/s,200 MHz
22 nm,1.90 GHz,15 W,16 GB,25.6 GB/s,200 MHz
22 nm,2.60 GHz,37 W,32 GB,25.6 GB/s,400 MHz
22 nm,3.00 GHz,84 W,32 GB,25.6 GB/s,350 MHz
22 nm,3.10 GHz,84 W,32 GB,25.6 GB/s,350 MHz
22 nm,2.80 GHz,65 W,32 GB,25.6 GB/s,350 MHz
22 nm,2.70 GHz,65 W,32 GB,25.6 GB/s,350 MHz
22 nm,3.20 GHz,84 W,32 GB,25.6 GB/s,350 MHz
22 nm,2.90 GHz,65 W,32 GB,25.6 GB/s,350 MHz
22 nm,1.90 GHz,35 W,32 GB,25.6 GB/s,350 MHz
22 nm,2.70 GHz,37 W,16 GB,,400 MHz
22 nm,1.60 GHz,25 W,16 GB,,400 MHz
22 nm,2.50 GHz,27 W,32 GB,25.6 GB/s,
22 nm,2.90 GHz,37 W,16 GB,25.6 GB/s,400 MHz
22 nm,1.80 GHz,25 W,16 GB,25.6 GB/s,400 MHz
22 nm,2.00 GHz,35 W,32 GB,25.6 GB/s,350 MHz
22 nm,3.00 GHz,65 W,32 GB,25.6 GB/s,350 MHz
22 nm,3.30 GHz,84 W,32 GB,25.6 GB/s,350 MHz
22 nm,2.70 GHz,35 W,32 GB,25.6 GB/s,350 MHz
22 nm,2.90 GHz,35 W,32 GB,25.6 GB/s,200 MHz
22 nm,2.90 GHz,65 W,32 GB,25.6 GB/s,350 MHz
22 nm,2.70 GHz,65 W,32 GB,25.6 GB/s,200 MHz
22 nm,3.20 GHz,84 W,32 GB,25.6 GB/s,350 MHz
22 nm,2.50 GHz,45 W,32 GB,25.6 GB/s,350 MHz
22 nm,3.20 GHz,65 W,32 GB,25.6 GB/s,350 MHz
22 nm,3.50 GHz,88 W,32 GB,25.6 GB/s,350 MHz
22 nm,3.50 GHz,84 W,32 GB,25.6 GB/s,350 MHz
22 nm,2.30 GHz,45 W,32 GB,25.6 GB/s,350 MHz
22 nm,3.00 GHz,65 W,32 GB,25.6 GB/s,200 MHz
22 nm,3.10 GHz,65 W,32 GB,25.6 GB/s,350 MHz
22 nm,3.40 GHz,84 W,32 GB,25.6 GB/s,350 MHz
45 nm,1.30 GHz,5.5 W,,,
65 nm,1.73 GHz,31 W,,,
65 nm,1.66 GHz,27 W,,,
65 nm,1.86 GHz,31 W,,,
65 nm,1.83 GHz,27 W,,,
65 nm,1.06 GHz,6 W,,,
65 nm,1.20 GHz,6 W,,,
65 nm,1.33 GHz,5.5 W,,,
65 nm,1.06 GHz,5.5 W,,,
65 nm,1.20 GHz,5.5 W,,,
45 nm,1.40 GHz,5.5 W,,,
45 nm,1.20 GHz,5.5 W,,,
65 nm,1.06 GHz,9 W,,,
65 nm,1.20 GHz,9 W,,,
65 nm,1.06 GHz,10 W,,,
65 nm,1.06 GHz,10 W,,,
65 nm,1.20 GHz,10 W,,,
65 nm,1.20 GHz,10 W,,,
65 nm,1.33 GHz,10 W,,,
65 nm,1.60 GHz,31 W,,,
65 nm,1.73 GHz,31 W,,,
65 nm,1.66 GHz,31 W,,,
65 nm,1.66 GHz,31 W,,,
65 nm,1.86 GHz,31 W,,,
65 nm,1.83 GHz,31 W,,,
65 nm,2.00 GHz,31 W,,,
65 nm,2.00 GHz,31 W,,,
65 nm,2.16 GHz,31 W,,,
65 nm,1.60 GHz,34 W,,,
65 nm,2.33 GHz,31 W,,,
65 nm,1.50 GHz,35 W,,,
65 nm,1.40 GHz,35 W,,,
65 nm,1.73 GHz,34 W,,,
65 nm,1.66 GHz,35 W,,,
65 nm,1.60 GHz,35 W,,,
65 nm,1.66 GHz,34 W,,,
65 nm,1.83 GHz,35 W,,,
65 nm,1.83 GHz,34 W,,,
65 nm,1.80 GHz,35 W,,,
65 nm,2.00 GHz,35 W,,,
65 nm,2.00 GHz,35 W,,,
65 nm,2.00 GHz,35 W,,,
45 nm,2.00 GHz,35 W,,,
45 nm,2.10 GHz,35 W,,,
45 nm,2.20 GHz,35 W,,,
45 nm,2.20 GHz,35 W,,,
22 nm,1.90 GHz,15 W,16 GB,25.6 GB/s,200 MHz
22 nm,1.90 GHz,15 W,16 GB,25.6 GB/s,200 MHz
22 nm,1.50 GHz,11.5 W,16 GB,25.6 GB/s,200 MHz
22 nm,1.50 GHz,11.5 W,16 GB,25.6 GB/s,200 MHz
22 nm,1.30 GHz,11.5 W,16 GB,25.6 GB/s,200 MHz
22 nm,1.70 GHz,15 W,16 GB,25.6 GB/s,200 MHz
22 nm,1.70 GHz,15 W,16 GB,25.6 GB/s,200 MHz
22 nm,2.40 GHz,37 W,32 GB,25.6 GB/s,400 MHz
22 nm,3.40 GHz,54 W,32 GB,25.6 GB/s,350 MHz
65 nm,1.80 GHz,35 W,,,
22 nm,2.90 GHz,35 W,32 GB,25.6 GB/s,200 MHz
65 nm,2.00 GHz,34 W,,,
65 nm,2.00 GHz,35 W,,,
65 nm,2.00 GHz,35 W,,,
65 nm,2.16 GHz,34 W,,,
65 nm,2.20 GHz,35 W,,,
65 nm,2.33 GHz,34 W,,,
65 nm,2.40 GHz,35 W,,,
45 nm,2.10 GHz,35 W,,,
45 nm,2.40 GHz,35 W,,,
65 nm,2.60 GHz,35 W,,,
45 nm,2.50 GHz,35 W,,,
45 nm,2.53 GHz,35 W,,,
45 nm,2.60 GHz,35 W,,,
45 nm,2.66 GHz,35 W,,,
45 nm,2.80 GHz,35 W,,,
45 nm,2.93 GHz,35 W,,,
45 nm,3.06 GHz,35 W,,,
45 nm,1.20 GHz,10 W,,,
45 nm,1.40 GHz,10 W,,,
45 nm,1.60 GHz,10 W,,,
45 nm,2.26 GHz,25 W,,,
45 nm,2.40 GHz,25 W,,,
45 nm,2.53 GHz,25 W,,,
22 nm,3.50 GHz,54 W,32 GB,25.6 GB/s,350 MHz
22 nm,3.00 GHz,35 W,32 GB,25.6 GB/s,200 MHz
22 nm,3.60 GHz,54 W,32 GB,25.6 GB/s,350 MHz
22 nm,3.10 GHz,35 W,32 GB,25.6 GB/s,200 MHz
22 nm,3.70 GHz,54 W,32 GB,25.6 GB/s,350 MHz
22 nm,3.20 GHz,35 W,32 GB,25.6 GB/s,200 MHz
22 nm,2.00 GHz,28 W,16 GB,25.6 GB/s,200 MHz
22 nm,2.00 GHz,15 W,16 GB,25.6 GB/s,200 MHz
22 nm,1.80 GHz,25 W,32 GB,25.6 GB/s,400 MHz
22 nm,2.60 GHz,37 W,32 GB,25.6 GB/s,400 MHz
22 nm,2.60 GHz,37 W,32 GB,25.6 GB/s,400 MHz
22 nm,1.60 GHz,25 W,16 GB,25.6 GB/s,400 MHz
22 nm,2.50 GHz,37 W,32 GB,25.6 GB/s,400 MHz
22 nm,1.80 GHz,15 W,16 GB,25.6 GB/s,200 MHz
22 nm,2.40 GHz,37 W,16 GB,25.6 GB/s,400 MHz
22 nm,3.30 GHz,35 W,32 GB,25.6 GB/s,200 MHz
22 nm,3.80 GHz,54 W,32 GB,25.6 GB/s,350 MHz
22 nm,3.20 GHz,35 W,32 GB,25.6 GB/s,200 MHz
22 nm,3.70 GHz,54 W,32 GB,25.6 GB/s,350 MHz
22 nm,3.10 GHz,35 W,32 GB,25.6 GB/s,200 MHz
22 nm,3.60 GHz,54 W,32 GB,25.6 GB/s,350 MHz
22 nm,3.60 GHz,54 W,32 GB,25.6 GB/s,350 MHz
22 nm,2.40 GHz,35 W,32 GB,25.6 GB/s,350 MHz
22 nm,2.60 GHz,35 W,32 GB,25.6 GB/s,350 MHz
22 nm,3.00 GHz,35 W,32 GB,25.6 GB/s,200 MHz
45 nm,1.80 GHz,17 W,,,
45 nm,1.86 GHz,17 W,,,
45 nm,2.13 GHz,17 W,,,
45 nm,1.60 GHz,17 W,,,
45 nm,2.00 GHz,25 W,,,
45 nm,2.00 GHz,25 W,,,
45 nm,2.13 GHz,25 W,,,
45 nm,2.26 GHz,25 W,,,
45 nm,2.26 GHz,25 W,,,
45 nm,2.26 GHz,25 W,,,
45 nm,2.40 GHz,25 W,,,
45 nm,2.53 GHz,25 W,,,
45 nm,2.66 GHz,25 W,,,
45 nm,2.53 GHz,25 W,,,
45 nm,2.66 GHz,25 W,,,
45 nm,2.80 GHz,28 W,,,
65 nm,1.83 GHz,15 W,,,
65 nm,1.50 GHz,15 W,,,
65 nm,1.66 GHz,15 W,,,
65 nm,1.33 GHz,17 W,,,
65 nm,1.40 GHz,17 W,,,
65 nm,1.50 GHz,17 W,,,
65 nm,1.60 GHz,17 W,,,
65 nm,1.80 GHz,17 W,,,
65 nm,1.80 GHz,65 W,,,
